seed,epoch,avg_loss,accuracy,time_elapsed,optimizer,task
1,27,4.587256073951721,0.0185,3.175763,BelOpt,modular_addition
1,28,4.5829146057367325,0.018,3.294308,BelOpt,modular_addition
1,29,4.576342672109604,0.019,3.41267,BelOpt,modular_addition
1,30,4.575855612754822,0.0195,3.530961,BelOpt,modular_addition
1,31,4.574536144733429,0.019,3.649655,BelOpt,modular_addition
1,32,4.569300353527069,0.019,3.766289,BelOpt,modular_addition
1,33,4.566998541355133,0.018,3.883149,BelOpt,modular_addition
1,34,4.566929310560226,0.0205,4.000415,BelOpt,modular_addition
1,35,4.562334448099136,0.0195,4.117911,BelOpt,modular_addition
1,36,4.5627744644880295,0.019,4.235874,BelOpt,modular_addition
1,37,4.5629481971263885,0.019,4.353481,BelOpt,modular_addition
1,38,4.55897057056427,0.0185,4.472221,BelOpt,modular_addition
1,39,4.560136154294014,0.018,4.590927,BelOpt,modular_addition
1,40,4.560472533106804,0.0175,4.709783,BelOpt,modular_addition
1,41,4.556515023112297,0.0195,4.828358,BelOpt,modular_addition
1,42,4.555006444454193,0.0185,4.946232,BelOpt,modular_addition
1,43,4.5528967678546906,0.019,5.06501,BelOpt,modular_addition
1,44,4.553741872310638,0.0165,5.183201,BelOpt,modular_addition
1,45,4.55106945335865,0.02,5.301917,BelOpt,modular_addition
1,46,4.551887825131416,0.019,5.425197,BelOpt,modular_addition
1,47,4.551059931516647,0.018,5.545444,BelOpt,modular_addition
1,48,4.550107195973396,0.0175,5.664994,BelOpt,modular_addition
1,49,4.5479386895895,0.019,5.783657,BelOpt,modular_addition
1,50,4.5476894080638885,0.018,5.905294,BelOpt,modular_addition
2,1,5.393225997686386,0.009,0.119576,BelOpt,modular_addition
2,2,5.186576411128044,0.009,0.23802,BelOpt,modular_addition
2,3,5.0456573367118835,0.0095,0.357,BelOpt,modular_addition
2,4,4.934288039803505,0.009,0.475091,BelOpt,modular_addition
2,5,4.861290663480759,0.012,0.593385,BelOpt,modular_addition
2,6,4.815437540411949,0.0125,0.707862,BelOpt,modular_addition
2,7,4.773830279707909,0.0125,0.822792,BelOpt,modular_addition
2,8,4.735553428530693,0.0105,0.937759,BelOpt,modular_addition
2,9,4.711543560028076,0.011,1.05355,BelOpt,modular_addition
2,10,4.695152431726456,0.0105,1.168502,BelOpt,modular_addition
2,11,4.674889415502548,0.0115,1.283671,BelOpt,modular_addition
2,12,4.659245535731316,0.0105,1.399602,BelOpt,modular_addition
2,13,4.644309893250465,0.0115,1.515767,BelOpt,modular_addition
2,14,4.635312885046005,0.013,1.6326,BelOpt,modular_addition
2,15,4.628623276948929,0.015,1.749278,BelOpt,modular_addition
2,16,4.619418650865555,0.0145,1.865583,BelOpt,modular_addition
2,17,4.612112134695053,0.0135,1.982603,BelOpt,modular_addition
2,18,4.611060604453087,0.014,2.09919,BelOpt,modular_addition
2,19,4.603596404194832,0.0145,2.21577,BelOpt,modular_addition
2,20,4.597179487347603,0.0125,2.332293,BelOpt,modular_addition
2,21,4.592343226075172,0.014,2.449069,BelOpt,modular_addition
2,22,4.588006749749184,0.0145,2.565598,BelOpt,modular_addition
2,23,4.585926860570908,0.0135,2.681652,BelOpt,modular_addition
2,24,4.582302734255791,0.0125,2.798189,BelOpt,modular_addition
2,25,4.5778074860572815,0.0135,2.914531,BelOpt,modular_addition
2,26,4.5768745094537735,0.0145,3.030908,BelOpt,modular_addition
2,27,4.574902251362801,0.0135,3.147568,BelOpt,modular_addition
2,28,4.569187372922897,0.016,3.264064,BelOpt,modular_addition
2,29,4.570579767227173,0.015,3.380422,BelOpt,modular_addition
2,30,4.5671544671058655,0.0155,3.497255,BelOpt,modular_addition
2,31,4.566594064235687,0.0155,3.613896,BelOpt,modular_addition
2,32,4.563468798995018,0.014,3.730673,BelOpt,modular_addition
2,33,4.559935137629509,0.0155,3.847133,BelOpt,modular_addition
2,34,4.5604953318834305,0.015,3.964541,BelOpt,modular_addition
2,35,4.5592459589242935,0.014,4.08099,BelOpt,modular_addition
2,36,4.561397686600685,0.015,4.196469,BelOpt,modular_addition
2,37,4.556019380688667,0.0155,4.312329,BelOpt,modular_addition
2,38,4.553659677505493,0.0155,4.427828,BelOpt,modular_addition
2,39,4.554619580507278,0.016,4.543908,BelOpt,modular_addition
2,40,4.55478347837925,0.014,4.659477,BelOpt,modular_addition
2,41,4.549935087561607,0.0145,4.775624,BelOpt,modular_addition
2,42,4.5496756285429,0.0175,4.891493,BelOpt,modular_addition
2,43,4.549197867512703,0.0165,5.007247,BelOpt,modular_addition
2,44,4.551742300391197,0.0165,5.122786,BelOpt,modular_addition
2,45,4.548590570688248,0.017,5.23921,BelOpt,modular_addition
2,46,4.547868132591248,0.0175,5.355209,BelOpt,modular_addition
2,47,4.5476906299591064,0.018,5.471268,BelOpt,modular_addition
2,48,4.545880168676376,0.017,5.586961,BelOpt,modular_addition
2,49,4.547374367713928,0.0185,5.702985,BelOpt,modular_addition
2,50,4.546345561742783,0.0175,5.820471,BelOpt,modular_addition
0,1,6.248446851968765,0.014,0.134421,BelOpt,modular_addition
0,2,5.847383841872215,0.014,0.33032,BelOpt,modular_addition
0,3,5.5920844823122025,0.013,0.60788,BelOpt,modular_addition
0,4,5.401828467845917,0.013,0.796644,BelOpt,modular_addition
0,5,5.2283946722745895,0.013,1.130218,BelOpt,modular_addition
0,6,5.1066183894872665,0.014,1.26057,BelOpt,modular_addition
0,7,5.020764768123627,0.014,1.383646,BelOpt,modular_addition
0,8,4.9408678859472275,0.014,1.502959,BelOpt,modular_addition
0,9,4.899907797574997,0.013,1.622296,BelOpt,modular_addition
0,10,4.846206933259964,0.0125,1.741444,BelOpt,modular_addition
0,11,4.809522703289986,0.014,1.860627,BelOpt,modular_addition
0,12,4.7768567353487015,0.0135,1.979564,BelOpt,modular_addition
0,13,4.744339615106583,0.0125,2.098124,BelOpt,modular_addition
0,14,4.733785420656204,0.009,2.21725,BelOpt,modular_addition
0,15,4.716616615653038,0.0155,2.33539,BelOpt,modular_addition
0,16,4.69621267914772,0.011,2.453705,BelOpt,modular_addition
0,17,4.691810458898544,0.0105,2.572308,BelOpt,modular_addition
0,18,4.675621688365936,0.0115,2.691985,BelOpt,modular_addition
0,19,4.667297154664993,0.012,2.811074,BelOpt,modular_addition
0,20,4.655595675110817,0.011,2.928923,BelOpt,modular_addition
0,21,4.653775826096535,0.0115,3.047128,BelOpt,modular_addition
0,22,4.639406383037567,0.0095,3.164994,BelOpt,modular_addition
0,23,4.642484083771706,0.01,3.282051,BelOpt,modular_addition
0,24,4.631307512521744,0.009,3.399359,BelOpt,modular_addition
0,25,4.623881980776787,0.012,3.516592,BelOpt,modular_addition
0,26,4.620793655514717,0.0095,3.63357,BelOpt,modular_addition
0,27,4.614926844835281,0.01,3.751782,BelOpt,modular_addition
0,28,4.610671550035477,0.012,3.869888,BelOpt,modular_addition
0,29,4.6061976701021194,0.0105,3.986707,BelOpt,modular_addition
0,30,4.605963945388794,0.012,4.132771,BelOpt,modular_addition
0,31,4.602387964725494,0.0135,4.262099,BelOpt,modular_addition
0,32,4.596991926431656,0.0125,4.383886,BelOpt,modular_addition
0,33,4.5981035977602005,0.0135,4.504574,BelOpt,modular_addition
0,34,4.5892084538936615,0.0135,4.625788,BelOpt,modular_addition
0,35,4.595141738653183,0.011,4.745772,BelOpt,modular_addition
0,36,4.5938462018966675,0.0135,4.86841,BelOpt,modular_addition
0,37,4.5886280089616776,0.013,5.003236,BelOpt,modular_addition
0,38,4.5835762321949005,0.0135,5.147837,BelOpt,modular_addition
0,39,4.583437949419022,0.0155,5.311415,BelOpt,modular_addition
0,40,4.579798057675362,0.0145,5.48068,BelOpt,modular_addition
0,41,4.574449330568314,0.0155,5.599676,BelOpt,modular_addition
0,42,4.574835553765297,0.017,5.717171,BelOpt,modular_addition
0,43,4.572686925530434,0.016,5.834092,BelOpt,modular_addition
0,44,4.574277624487877,0.016,5.953986,BelOpt,modular_addition
0,45,4.570955961942673,0.0165,6.070517,BelOpt,modular_addition
0,46,4.570000976324081,0.0175,6.186513,BelOpt,modular_addition
0,47,4.565436020493507,0.018,6.30426,BelOpt,modular_addition
0,48,4.56637816131115,0.0185,6.42055,BelOpt,modular_addition
0,49,4.571929097175598,0.019,6.53822,BelOpt,modular_addition
0,50,4.56708499789238,0.0185,6.657601,BelOpt,modular_addition
1,1,6.321791291236877,0.0085,0.120515,BelOpt,modular_addition
1,2,5.849232763051987,0.0095,0.239354,BelOpt,modular_addition
1,3,5.547181010246277,0.01,0.357403,BelOpt,modular_addition
1,4,5.320924162864685,0.011,0.47518,BelOpt,modular_addition
1,5,5.16060908138752,0.0105,0.591446,BelOpt,modular_addition
1,6,5.053865626454353,0.0095,0.707901,BelOpt,modular_addition
1,7,4.958890795707703,0.0095,0.824784,BelOpt,modular_addition
1,8,4.893427833914757,0.01,0.941814,BelOpt,modular_addition
1,9,4.8540529906749725,0.0095,1.05859,BelOpt,modular_addition
1,10,4.802543804049492,0.011,1.176508,BelOpt,modular_addition
1,11,4.772473409771919,0.0105,1.29294,BelOpt,modular_addition
1,12,4.742995262145996,0.0125,1.410445,BelOpt,modular_addition
1,13,4.724121868610382,0.0115,1.526763,BelOpt,modular_addition
1,14,4.710526570677757,0.0135,1.644115,BelOpt,modular_addition
1,15,4.691669777035713,0.011,1.761248,BelOpt,modular_addition
1,16,4.679289072751999,0.014,1.878641,BelOpt,modular_addition
1,17,4.665234670042992,0.014,1.996448,BelOpt,modular_addition
1,18,4.6625237464904785,0.0175,2.114467,BelOpt,modular_addition
1,19,4.644915610551834,0.017,2.232503,BelOpt,modular_addition
1,20,4.642930209636688,0.017,2.350853,BelOpt,modular_addition
1,21,4.635619133710861,0.0175,2.470357,BelOpt,modular_addition
1,22,4.629665121436119,0.016,2.588969,BelOpt,modular_addition
1,23,4.623183891177177,0.0185,2.708341,BelOpt,modular_addition
1,24,4.616485044360161,0.017,2.827201,BelOpt,modular_addition
1,25,4.616825699806213,0.017,2.942854,BelOpt,modular_addition
1,26,4.606098845601082,0.0175,3.058018,BelOpt,modular_addition
1,27,4.604624509811401,0.019,3.173827,BelOpt,modular_addition
1,28,4.600759148597717,0.018,3.289821,BelOpt,modular_addition
1,29,4.593078851699829,0.0175,3.407017,BelOpt,modular_addition
1,30,4.592066258192062,0.0185,3.524001,BelOpt,modular_addition
1,31,4.589653119444847,0.018,3.641026,BelOpt,modular_addition
1,32,4.584446936845779,0.0185,3.757783,BelOpt,modular_addition
1,33,4.581935077905655,0.0185,3.874362,BelOpt,modular_addition
1,34,4.581696629524231,0.0175,3.992405,BelOpt,modular_addition
1,35,4.577059417963028,0.0185,4.111691,BelOpt,modular_addition
1,36,4.576857879757881,0.019,4.230045,BelOpt,modular_addition
1,37,4.5756139904260635,0.0205,4.349224,BelOpt,modular_addition
1,38,4.574010133743286,0.0195,4.467697,BelOpt,modular_addition
1,39,4.573937565088272,0.0205,4.585597,BelOpt,modular_addition
1,40,4.574842631816864,0.0215,4.700585,BelOpt,modular_addition
1,41,4.57021327316761,0.022,4.815845,BelOpt,modular_addition
1,42,4.568328276276588,0.0215,4.930805,BelOpt,modular_addition
1,43,4.56557509303093,0.0215,5.04777,BelOpt,modular_addition
1,44,4.565878286957741,0.0225,5.166518,BelOpt,modular_addition
1,45,4.56065545976162,0.0225,5.285837,BelOpt,modular_addition
1,46,4.5624504536390305,0.0225,5.404092,BelOpt,modular_addition
1,47,4.5619911551475525,0.024,5.523127,BelOpt,modular_addition
1,48,4.56088262796402,0.0235,5.641704,BelOpt,modular_addition
1,49,4.556871652603149,0.0235,5.760984,BelOpt,modular_addition
1,50,4.5573295801877975,0.023,5.880594,BelOpt,modular_addition
2,1,5.399201735854149,0.009,0.120066,BelOpt,modular_addition
2,2,5.201209411025047,0.009,0.239024,BelOpt,modular_addition
2,3,5.065364703536034,0.009,0.357955,BelOpt,modular_addition
2,4,4.9559329599142075,0.0085,0.477262,BelOpt,modular_addition
2,5,4.883508160710335,0.012,0.596129,BelOpt,modular_addition
2,6,4.838377311825752,0.0125,0.7155,BelOpt,modular_addition
2,7,4.796465024352074,0.0125,0.834085,BelOpt,modular_addition
2,8,4.7572609186172485,0.011,0.953409,BelOpt,modular_addition
2,9,4.732505947351456,0.012,1.071212,BelOpt,modular_addition
2,10,4.715941950678825,0.011,1.188116,BelOpt,modular_addition
2,11,4.69441020488739,0.011,1.306329,BelOpt,modular_addition
2,12,4.67850649356842,0.0105,1.423175,BelOpt,modular_addition
2,13,4.662431567907333,0.0115,1.539162,BelOpt,modular_addition
2,14,4.653500065207481,0.012,1.65596,BelOpt,modular_addition
2,15,4.646082848310471,0.0145,1.771757,BelOpt,modular_addition
2,16,4.6359919756650925,0.0145,1.887768,BelOpt,modular_addition
2,17,4.628069490194321,0.0145,2.003362,BelOpt,modular_addition
2,18,4.627710774540901,0.0155,2.119814,BelOpt,modular_addition
2,19,4.619142130017281,0.0145,2.235634,BelOpt,modular_addition
2,20,4.612044632434845,0.013,2.352212,BelOpt,modular_addition
2,21,4.606680825352669,0.016,2.468276,BelOpt,modular_addition
2,22,4.602089092135429,0.0155,2.584548,BelOpt,modular_addition
2,23,4.599469691514969,0.013,2.700409,BelOpt,modular_addition
2,24,4.594920054078102,0.0155,2.816072,BelOpt,modular_addition
2,25,4.589934304356575,0.014,2.932176,BelOpt,modular_addition
2,26,4.5894376784563065,0.0155,3.046588,BelOpt,modular_addition
2,27,4.587235763669014,0.0155,3.163739,BelOpt,modular_addition
2,28,4.580210462212563,0.0145,3.2804,BelOpt,modular_addition
2,29,4.582716286182404,0.016,3.397818,BelOpt,modular_addition
2,30,4.5781190395355225,0.0185,3.515168,BelOpt,modular_addition
2,31,4.57804362475872,0.018,3.631976,BelOpt,modular_addition
2,32,4.573937892913818,0.0165,3.748566,BelOpt,modular_addition
2,33,4.5703186839818954,0.016,3.865209,BelOpt,modular_addition
2,34,4.570212930440903,0.017,3.98171,BelOpt,modular_addition
2,35,4.5689574629068375,0.0165,4.098506,BelOpt,modular_addition
2,36,4.571686565876007,0.017,4.21535,BelOpt,modular_addition
2,37,4.566103890538216,0.018,4.33222,BelOpt,modular_addition
2,38,4.562497287988663,0.0175,4.448823,BelOpt,modular_addition
2,39,4.563109040260315,0.016,4.565415,BelOpt,modular_addition
2,40,4.5630380511283875,0.0165,4.682031,BelOpt,modular_addition
2,41,4.558417454361916,0.016,4.798765,BelOpt,modular_addition
2,42,4.557421997189522,0.016,4.916034,BelOpt,modular_addition
2,43,4.557048454880714,0.015,5.034662,BelOpt,modular_addition
2,44,4.559085264801979,0.0165,5.152373,BelOpt,modular_addition
2,45,4.554735824465752,0.0175,5.269016,BelOpt,modular_addition
2,46,4.555879235267639,0.019,5.388203,BelOpt,modular_addition
2,47,4.555073916912079,0.019,5.504374,BelOpt,modular_addition
2,48,4.552841335535049,0.019,5.619152,BelOpt,modular_addition
2,49,4.552999138832092,0.0185,5.734322,BelOpt,modular_addition
2,50,4.552373439073563,0.0185,5.849602,BelOpt,modular_addition
0,1,6.235328450798988,0.014,0.114853,BelOpt,modular_addition
0,2,5.817370027303696,0.013,0.232596,BelOpt,modular_addition
0,3,5.552932426333427,0.013,0.349343,BelOpt,modular_addition
0,4,5.357650443911552,0.013,0.465804,BelOpt,modular_addition
0,5,5.183320388197899,0.0135,0.581947,BelOpt,modular_addition
0,6,5.062538892030716,0.0155,0.698111,BelOpt,modular_addition
0,7,4.978524416685104,0.0155,0.814369,BelOpt,modular_addition
0,8,4.901460200548172,0.0145,0.931048,BelOpt,modular_addition
0,9,4.861809685826302,0.013,1.047609,BelOpt,modular_addition
0,10,4.810722798109055,0.014,1.163552,BelOpt,modular_addition
0,11,4.776177495718002,0.0135,1.278894,BelOpt,modular_addition
0,12,4.745119318366051,0.012,1.394774,BelOpt,modular_addition
0,13,4.715052112936974,0.01,1.511661,BelOpt,modular_addition
0,14,4.704855635762215,0.0115,1.628129,BelOpt,modular_addition
0,15,4.688892677426338,0.013,1.746444,BelOpt,modular_addition
0,16,4.6704729944467545,0.011,1.86339,BelOpt,modular_addition
0,17,4.665459364652634,0.0105,1.980651,BelOpt,modular_addition
0,18,4.650747165083885,0.0095,2.099572,BelOpt,modular_addition
0,19,4.644296646118164,0.0105,2.216395,BelOpt,modular_addition
0,20,4.633877083659172,0.0095,2.333614,BelOpt,modular_addition
0,21,4.631432592868805,0.011,2.451092,BelOpt,modular_addition
0,22,4.618915423750877,0.011,2.567985,BelOpt,modular_addition
0,23,4.62157940864563,0.011,2.684679,BelOpt,modular_addition
0,24,4.612040892243385,0.0125,2.800637,BelOpt,modular_addition
0,25,4.605158269405365,0.0135,2.916457,BelOpt,modular_addition
0,26,4.601980105042458,0.0125,3.03243,BelOpt,modular_addition
0,27,4.596377655863762,0.0125,3.148387,BelOpt,modular_addition
0,28,4.593088999390602,0.0125,3.264001,BelOpt,modular_addition
0,29,4.590031206607819,0.011,3.378118,BelOpt,modular_addition
0,30,4.588507667183876,0.0115,3.495143,BelOpt,modular_addition
0,31,4.584969028830528,0.0115,3.611744,BelOpt,modular_addition
0,32,4.580954611301422,0.0095,3.728183,BelOpt,modular_addition
0,33,4.582421347498894,0.0105,3.84507,BelOpt,modular_addition
0,34,4.573783695697784,0.011,3.961661,BelOpt,modular_addition
0,35,4.578667759895325,0.0115,4.078534,BelOpt,modular_addition
0,36,4.577238202095032,0.011,4.195137,BelOpt,modular_addition
0,37,4.5740949511528015,0.011,4.311783,BelOpt,modular_addition
0,38,4.56989973783493,0.011,4.428479,BelOpt,modular_addition
0,39,4.569482371211052,0.014,4.542574,BelOpt,modular_addition
0,40,4.566411316394806,0.013,4.657172,BelOpt,modular_addition
0,41,4.561060935258865,0.0125,4.772126,BelOpt,modular_addition
0,42,4.562871024012566,0.0135,4.888086,BelOpt,modular_addition
0,43,4.560038447380066,0.0125,5.003603,BelOpt,modular_addition
0,44,4.561807796359062,0.0135,5.119832,BelOpt,modular_addition
0,45,4.560816317796707,0.014,5.235719,BelOpt,modular_addition
0,46,4.558805242180824,0.013,5.351537,BelOpt,modular_addition
0,47,4.556223645806313,0.014,5.467958,BelOpt,modular_addition
0,48,4.555658131837845,0.014,5.588819,BelOpt,modular_addition
0,49,4.560127153992653,0.0145,5.704813,BelOpt,modular_addition
0,50,4.5569136291742325,0.0145,5.820565,BelOpt,modular_addition
1,1,6.306969985365868,0.009,0.11623,BelOpt,modular_addition
1,2,5.814191713929176,0.01,0.233735,BelOpt,modular_addition
1,3,5.50354129076004,0.0095,0.350925,BelOpt,modular_addition
1,4,5.274986520409584,0.011,0.468133,BelOpt,modular_addition
1,5,5.115617975592613,0.011,0.58682,BelOpt,modular_addition
1,6,5.0097023248672485,0.009,0.702957,BelOpt,modular_addition
1,7,4.918296441435814,0.0095,0.820094,BelOpt,modular_addition
1,8,4.8560347855091095,0.0105,0.936557,BelOpt,modular_addition
1,9,4.818943202495575,0.0095,1.053121,BelOpt,modular_addition
1,10,4.771239757537842,0.0105,1.169935,BelOpt,modular_addition
1,11,4.742664456367493,0.011,1.286012,BelOpt,modular_addition
1,12,4.715302869677544,0.0115,1.401688,BelOpt,modular_addition
1,13,4.697433277964592,0.0125,1.517324,BelOpt,modular_addition
1,14,4.684752374887466,0.0135,1.634125,BelOpt,modular_addition
1,15,4.666472092270851,0.012,1.750655,BelOpt,modular_addition
1,16,4.654621854424477,0.016,1.866434,BelOpt,modular_addition
1,17,4.64180925488472,0.015,1.982116,BelOpt,modular_addition
1,18,4.6382125467062,0.0155,2.098136,BelOpt,modular_addition
1,19,4.623540922999382,0.0165,2.214321,BelOpt,modular_addition
1,20,4.620656803250313,0.0165,2.331215,BelOpt,modular_addition
1,21,4.6142453998327255,0.0175,2.448488,BelOpt,modular_addition
1,22,4.609358116984367,0.017,2.565087,BelOpt,modular_addition
1,23,4.603266790509224,0.018,2.68007,BelOpt,modular_addition
1,24,4.5971198081970215,0.0175,2.794933,BelOpt,modular_addition
1,25,4.597373187541962,0.0185,2.910024,BelOpt,modular_addition
1,26,4.58838564157486,0.0195,3.025135,BelOpt,modular_addition
1,27,4.5872063636779785,0.0185,3.140165,BelOpt,modular_addition
1,28,4.5828538835048676,0.018,3.255176,BelOpt,modular_addition
1,29,4.576281934976578,0.019,3.369733,BelOpt,modular_addition
1,30,4.575803056359291,0.019,3.484295,BelOpt,modular_addition
1,31,4.574475392699242,0.0185,3.59977,BelOpt,modular_addition
1,32,4.569237560033798,0.0185,3.714938,BelOpt,modular_addition
1,33,4.566947668790817,0.018,3.829846,BelOpt,modular_addition
1,34,4.566884160041809,0.021,3.944603,BelOpt,modular_addition
1,35,4.562291249632835,0.019,4.059653,BelOpt,modular_addition
1,36,4.562735766172409,0.019,4.174258,BelOpt,modular_addition
1,37,4.562920555472374,0.0185,4.28876,BelOpt,modular_addition
1,38,4.558935046195984,0.0185,4.403257,BelOpt,modular_addition
1,39,4.560110494494438,0.018,4.52098,BelOpt,modular_addition
1,40,4.560453161597252,0.0175,4.637014,BelOpt,modular_addition
1,41,4.556488752365112,0.0195,4.752183,BelOpt,modular_addition
1,42,4.5549783408641815,0.0185,4.867031,BelOpt,modular_addition
1,43,4.5528775453567505,0.019,4.981981,BelOpt,modular_addition
1,44,4.553713098168373,0.016,5.09678,BelOpt,modular_addition
1,45,4.551070600748062,0.0195,5.211818,BelOpt,modular_addition
1,46,4.551878437399864,0.019,5.32657,BelOpt,modular_addition
1,47,4.551045790314674,0.018,5.44176,BelOpt,modular_addition
1,48,4.550090402364731,0.0175,5.556533,BelOpt,modular_addition
1,49,4.547914445400238,0.019,5.67261,BelOpt,modular_addition
1,50,4.547659665346146,0.018,5.789025,BelOpt,modular_addition
2,1,5.393229246139526,0.009,0.116795,BelOpt,modular_addition
2,2,5.186551138758659,0.009,0.232286,BelOpt,modular_addition
2,3,5.045673713088036,0.0095,0.353849,BelOpt,modular_addition
2,4,4.934272021055222,0.009,0.473242,BelOpt,modular_addition
2,5,4.861261278390884,0.012,0.588847,BelOpt,modular_addition
2,6,4.815403953194618,0.0125,0.705723,BelOpt,modular_addition
2,7,4.773762196302414,0.0125,0.822366,BelOpt,modular_addition
2,8,4.735489293932915,0.0105,0.93808,BelOpt,modular_addition
2,9,4.711469739675522,0.011,1.056144,BelOpt,modular_addition
2,10,4.695080742239952,0.0105,1.171154,BelOpt,modular_addition
2,11,4.674841746687889,0.0115,1.28717,BelOpt,modular_addition
2,12,4.659180700778961,0.0105,1.402433,BelOpt,modular_addition
2,13,4.644232466816902,0.012,1.518513,BelOpt,modular_addition
2,14,4.63524954020977,0.013,1.634903,BelOpt,modular_addition
